# t    x    y    z    z_dot    theta    theta_dot    Energia
 28.000000       0.092381      -0.387542       0.098400      -0.403844       0.234011       1.223291      -0.311735
 28.100000       0.119068      -0.344960       0.064931      -0.226575       0.332360       0.666439      -0.311801
 28.200000       0.124423      -0.336531       0.058796       0.106468       0.354135      -0.251624      -0.311878
 28.300000       0.108979      -0.367960       0.083759       0.359097       0.287940      -1.009908      -0.311933
 28.400000       0.070236      -0.415483       0.121377       0.343638       0.167463      -1.342942      -0.312010
 28.500000       0.012283      -0.442645       0.142815       0.059354       0.027741      -1.428192      -0.312079
 28.600000      -0.049470      -0.428519       0.131365      -0.267849      -0.114934      -1.404608      -0.312150
 28.700000      -0.097150      -0.384630       0.096710      -0.377842      -0.247405      -1.193440      -0.312213
 28.800000      -0.122037      -0.344898       0.065852      -0.204265      -0.340087      -0.586722      -0.312272
 28.900000      -0.124824      -0.338733       0.061001       0.109415      -0.353063       0.340179      -0.312339
 29.000000      -0.106191      -0.370509       0.085426       0.347202      -0.279126       1.073781      -0.312389
 29.100000      -0.064552      -0.416670       0.121641       0.329441      -0.153701       1.378132      -0.312462
 29.200000      -0.005254      -0.441950       0.141981       0.052392      -0.011888       1.434369      -0.312527
 29.300000       0.055671      -0.426651       0.130268      -0.266817       0.129750       1.376635      -0.312594
 29.400000       0.100786      -0.382830       0.095874      -0.374583       0.257426       1.125548      -0.312654
 29.500000       0.122368      -0.344195       0.065300      -0.201476       0.341583       0.488065      -0.312716
 29.600000       0.121920      -0.339684       0.060901       0.116435       0.344601      -0.433388      -0.312784
 29.700000       0.100583      -0.372977       0.086302       0.358424       0.263411      -1.121688      -0.312839
 29.800000       0.057330      -0.419451       0.123351       0.332811       0.135836      -1.375172      -0.312919
 29.900000      -0.001711      -0.443178       0.143181       0.038835      -0.003860      -1.397805      -0.312990
